0 100 1 | -1 1 -1
1 100 101 | 0 198 2
1 101 2 | 1 3 -1
2 101 102 | 2 200 4
2 102 3 | 3 5 -1
3 102 103 | 4 202 6
3 103 4 | 5 7 -1
4 103 104 | 6 204 8
4 104 5 | 7 9 -1
5 104 105 | 8 206 10
5 105 6 | 9 11 -1
6 105 106 | 10 208 12
6 106 7 | 11 13 -1
7 106 107 | 12 210 14
7 107 8 | 13 15 -1
8 107 108 | 14 212 16
8 108 9 | 15 17 -1
9 108 109 | 16 214 18
9 109 10 | 17 19 -1
10 109 110 | 18 216 20
10 110 11 | 19 21 -1
11 110 111 | 20 218 22
11 111 12 | 21 23 -1
12 111 112 | 22 220 24
12 112 13 | 23 25 -1
13 112 113 | 24 222 26
13 113 14 | 25 27 -1
14 113 114 | 26 224 28
14 114 15 | 27 29 -1
15 114 115 | 28 226 30
15 115 16 | 29 31 -1
16 115 116 | 30 228 32
16 116 17 | 31 33 -1
17 116 117 | 32 230 34
17 117 18 | 33 35 -1
18 117 118 | 34 232 36
18 118 19 | 35 37 -1
19 118 119 | 36 234 38
19 119 20 | 37 39 -1
20 119 120 | 38 236 40
20 120 21 | 39 41 -1
21 120 121 | 40 238 42
21 121 22 | 41 43 -1
22 121 122 | 42 240 44
22 122 23 | 43 45 -1
23 122 123 | 44 242 46
23 123 24 | 45 47 -1
24 123 124 | 46 244 48
24 124 25 | 47 49 -1
25 124 125 | 48 246 50
25 125 26 | 49 51 -1
26 125 126 | 50 248 52
26 126 27 | 51 53 -1
27 126 127 | 52 250 54
27 127 28 | 53 55 -1
28 127 128 | 54 252 56
28 128 29 | 55 57 -1
29 128 129 | 56 254 58
29 129 30 | 57 59 -1
30 129 130 | 58 256 60
30 130 31 | 59 61 -1
31 130 131 | 60 258 62
31 131 32 | 61 63 -1
32 131 132 | 62 260 64
32 132 33 | 63 65 -1
33 132 133 | 64 262 66
33 133 34 | 65 67 -1
34 133 134 | 66 264 68
34 134 35 | 67 69 -1
35 134 135 | 68 266 70
35 135 36 | 69 71 -1
36 135 136 | 70 268 72
36 136 37 | 71 73 -1
37 136 137 | 72 270 74
37 137 38 | 73 75 -1
