0 60 1 | -1 1 -1
1 60 61 | 0 118 2
1 61 2 | 1 3 -1
2 61 62 | 2 120 4
2 62 3 | 3 5 -1
3 62 63 | 4 122 6
3 63 4 | 5 7 -1
4 63 64 | 6 124 8
4 64 5 | 7 9 -1
5 64 65 | 8 126 10
5 65 6 | 9 11 -1
6 65 66 | 10 128 12
6 66 7 | 11 13 -1
7 66 67 | 12 130 14
7 67 8 | 13 15 -1
8 67 68 | 14 132 16
8 68 9 | 15 17 -1
9 68 69 | 16 134 18
9 69 10 | 17 19 -1
10 69 70 | 18 136 20
10 70 11 | 19 21 -1
11 70 71 | 20 138 22
11 71 12 | 21 23 -1
12 71 72 | 22 140 24
12 72 13 | 23 25 -1
13 72 73 | 24 142 26
13 73 14 | 25 27 -1
14 73 74 | 26 144 28
14 74 15 | 27 29 -1
15 74 75 | 28 146 30
15 75 16 | 29 31 -1
16 75 76 | 30 148 32
16 76 17 | 31 33 -1
17 76 77 | 32 150 34
17 77 18 | 33 35 -1
18 77 78 | 34 152 36
18 78 19 | 35 37 -1
19 78 79 | 36 154 38
19 79 20 | 37 39 -1
20 79 80 | 38 156 40
20 80 21 | 39 41 -1
21 80 81 | 40 158 42
21 81 22 | 41 43 -1
22 81 82 | 42 160 44
22 82 23 | 43 45 -1
23 82 83 | 44 162 46
23 83 24 | 45 47 -1
24 83 84 | 46 164 48
24 84 25 | 47 49 -1
25 84 85 | 48 166 50
25 85 26 | 49 51 -1
26 85 86 | 50 168 52
26 86 27 | 51 53 -1
27 86 87 | 52 170 54
27 87 28 | 53 55 -1
28 87 88 | 54 172 56
28 88 29 | 55 57 -1
29 88 89 | 56 174 58
29 89 30 | 57 59 -1
30 89 90 | 58 176 60
30 90 31 | 59 61 -1
31 90 91 | 60 178 62
31 91 32 | 61 63 -1
32 91 92 | 62 180 64
32 92 33 | 63 65 -1
33 92 93 | 64 182 66
33 93 34 | 65 67 -1
34 93 94 | 66 184 68
34 94 35 | 67 69 -1
35 94 95 | 68 186 70
35 95 36 | 69 71 -1
36 95 96 | 70 188 72
36 96 37 | 71 73 -1
37 96 97 | 72 190 74
37 97 38 | 73 75 -1
38 97 98 | 74 192 76
38 98 39 | 75 77 -1
39 98 99 | 76 194 78
39 99 40 | 77 79 -1
40 99 100 | 78 196 80
40 100 41 | 79 81 -1
41 100 101 | 80 198 82
41 101 42 | 81 83 -1
42 101 102 | 82 200 84
42 102 43 | 83 85 -1
43 102 103 | 84 202 86
43 103 44 | 85 87 -1
44 103 104 | 86 204 88
44 104 45 | 87 89 -1
45 104 105 | 88 206 90
45 105 46 | 89 91 -1
46 105 106 | 90 208 92
46 106 47 | 91 93 -1
47 106 107 | 92 210 94
47 107 48 | 93 95 -1
48 107 108 | 94 212 96
48 108 49 | 95 97 -1
49 108 109 | 96 214 98
49 109 50 | 97 99 -1
50 109 110 | 98 216 100
50 110 51 | 99 101 -1
51 110 111 | 100 218 102
51 111 52 | 101 103 -1
52 111 112 | 102 220 104
52 112 53 | 103 105 -1
53 112 113 | 104 222 106
53 113 54 | 105 107 -1
54 113 114 | 106 224 108
54 114 55 | 107 109 -1
55 114 115 | 108 226 110
55 115 56 | 109 111 -1
56 115 116 | 110 228 112
56 116 57 | 111 113 -1
57 116 117 | 112 230 114
57 117 58 | 113 115 -1
58 117 118 | 114 232 116
58 118 59 | 115 117 -1
59 118 119 | 116 234 -1
60 120 61 | -1 119 1
61 120 121 | 118 236 120
61 121 62 | 119 121 3
62 121 122 | 120 238 122
62 122 63 | 121 123 5
63 122 123 | 122 240 124
63 123 64 | 123 125 7
64 123 124 | 124 242 126
64 124 65 | 125 127 9
65 124 125 | 126 244 128
65 125 66 | 127 129 11
66 125 126 | 128 246 130
66 126 67 | 129 131 13
67 126 127 | 130 248 132
67 127 68 | 131 133 15
68 127 128 | 132 250 134
68 128 69 | 133 135 17
69 128 129 | 134 252 136
69 129 70 | 135 137 19
70 129 130 | 136 254 138
70 130 71 | 137 139 21
71 130 131 | 138 256 140
71 131 72 | 139 141 23
72 131 132 | 140 258 142
72 132 73 | 141 143 25
73 132 133 | 142 260 144
73 133 74 | 143 145 27
74 133 134 | 144 262 146
74 134 75 | 145 147 29
75 134 135 | 146 264 148
75 135 76 | 147 149 31
76 135 136 | 148 266 150
76 136 77 | 149 151 33
77 136 137 | 150 268 152
77 137 78 | 151 153 35
78 137 138 | 152 270 154
78 138 79 | 153 155 37
79 138 139 | 154 272 156
79 139 80 | 155 157 39
80 139 140 | 156 274 158
80 140 81 | 157 159 41
81 140 141 | 158 276 160
81 141 82 | 159 161 43
82 141 142 | 160 278 162
82 142 83 | 161 163 45
83 142 143 | 162 280 164
83 143 84 | 163 165 47
84 143 144 | 164 282 166
84 144 85 | 165 167 49
85 144 145 | 166 284 168
85 145 86 | 167 169 51
86 145 146 | 168 286 170
86 146 87 | 169 171 53
87 146 147 | 170 288 172
87 147 88 | 171 173 55
88 147 148 | 172 290 174
88 148 89 | 173 175 57
89 148 149 | 174 292 176
89 149 90 | 175 177 59
90 149 150 | 176 294 178
90 150 91 | 177 179 61
91 150 151 | 178 296 180
91 151 92 | 179 181 63
92 151 152 | 180 298 182
92 152 93 | 181 183 65
93 152 153 | 182 300 184
93 153 94 | 183 185 67
94 153 154 | 184 302 186
94 154 95 | 185 187 69
95 154 155 | 186 304 188
95 155 96 | 187 189 71
96 155 156 | 188 306 190
96 156 97 | 189 191 73
97 156 157 | 190 308 192
97 157 98 | 191 193 75
98 157 158 | 192 310 194
98 158 99 | 193 195 77
99 158 159 | 194 312 196
99 159 100 | 195 197 79
100 159 160 | 196 314 198
100 160 101 | 197 199 81
101 160 161 | 198 316 200
101 161 102 | 199 201 83
102 161 162 | 200 318 202
102 162 103 | 201 203 85
103 162 163 | 202 320 204
103 163 104 | 203 205 87
104 163 164 | 204 322 206
104 164 105 | 205 207 89
105 164 165 | 206 324 208
105 165 106 | 207 209 91
106 165 166 | 208 326 210
106 166 107 | 209 211 93
107 166 167 | 210 328 212
107 167 108 | 211 213 95
108 167 168 | 212 330 214
108 168 109 | 213 215 97
109 168 169 | 214 332 216
109 169 110 | 215 217 99
110 169 170 | 216 334 218
110 170 111 | 217 219 101
111 170 171 | 218 336 220
111 171 112 | 219 221 103
112 171 172 | 220 338 222
112 172 113 | 221 223 105
113 172 173 | 222 340 224
113 173 114 | 223 225 107
114 173 174 | 224 342 226
114 174 115 | 225 227 109
115 174 175 | 226 344 228
115 175 116 | 227 229 111
116 175 176 | 228 346 230
116 176 117 | 229 231 113
117 176 177 | 230 348 232
117 177 118 | 231 233 115
118 177 178 | 232 350 234
118 178 119 | 233 235 117
119 178 179 | 234 352 -1
120 180 121 | -1 237 119
121 180 181 | 236 354 238
121 181 122 | 237 239 121
122 181 182 | 238 356 240
122 182 123 | 239 241 123
123 182 183 | 240 358 242
123 183 124 | 241 243 125
124 183 184 | 242 360 244
124 184 125 | 243 245 127
125 184 185 | 244 362 246
125 185 126 | 245 247 129
126 185 186 | 246 364 248
126 186 127 | 247 249 131
127 186 187 | 248 366 250
127 187 128 | 249 251 133
128 187 188 | 250 368 252
128 188 129 | 251 253 135
129 188 189 | 252 370 254
129 189 130 | 253 255 137
130 189 190 | 254 372 256
130 190 131 | 255 257 139
131 190 191 | 256 374 258
131 191 132 | 257 259 141
132 191 192 | 258 376 260
132 192 133 | 259 261 143
133 192 193 | 260 378 262
133 193 134 | 261 263 145
134 193 194 | 262 380 264
134 194 135 | 263 265 147
135 194 195 | 264 382 266
135 195 136 | 265 267 149
136 195 196 | 266 384 268
136 196 137 | 267 269 151
137 196 197 | 268 386 270
137 197 138 | 269 271 153
138 197 198 | 270 388 272
138 198 139 | 271 273 155
139 198 199 | 272 390 274
139 199 140 | 273 275 157
140 199 200 | 274 392 276
140 200 141 | 275 277 159
141 200 201 | 276 394 278
141 201 142 | 277 279 161
142 201 202 | 278 396 280
142 202 143 | 279 281 163
143 202 203 | 280 398 282
143 203 144 | 281 283 165
144 203 204 | 282 400 284
144 204 145 | 283 285 167
145 204 205 | 284 402 286
145 205 146 | 285 287 169
146 205 206 | 286 404 288
146 206 147 | 287 289 171
147 206 207 | 288 406 290
147 207 148 | 289 291 173
148 207 208 | 290 408 292
148 208 149 | 291 293 175
149 208 209 | 292 410 294
149 209 150 | 293 295 177
150 209 210 | 294 412 296
150 210 151 | 295 297 179
151 210 211 | 296 414 298
151 211 152 | 297 299 181
152 211 212 | 298 416 300
152 212 153 | 299 301 183
153 212 213 | 300 418 302
153 213 154 | 301 303 185
154 213 214 | 302 420 304
154 214 155 | 303 305 187
155 214 215 | 304 422 306
155 215 156 | 305 307 189
156 215 216 | 306 424 308
156 216 157 | 307 309 191
157 216 217 | 308 426 310
157 217 158 | 309 311 193
158 217 218 | 310 428 312
158 218 159 | 311 313 195
159 218 219 | 312 430 314
159 219 160 | 313 315 197
160 219 220 | 314 432 316
160 220 161 | 315 317 199
161 220 221 | 316 434 318
161 221 162 | 317 319 201
162 221 222 | 318 436 320
162 222 163 | 319 321 203
163 222 223 | 320 438 322
163 223 164 | 321 323 205
164 223 224 | 322 440 324
164 224 165 | 323 325 207
165 224 225 | 324 442 326
165 225 166 | 325 327 209
166 225 226 | 326 444 328
166 226 167 | 327 329 211
167 226 227 | 328 446 330
167 227 168 | 329 331 213
168 227 228 | 330 448 332
168 228 169 | 331 333 215
169 228 229 | 332 450 334
169 229 170 | 333 335 217
170 229 230 | 334 452 336
170 230 171 | 335 337 219
171 230 231 | 336 454 338
171 231 172 | 337 339 221
172 231 232 | 338 456 340
172 232 173 | 339 341 223
173 232 233 | 340 458 342
173 233 174 | 341 343 225
174 233 234 | 342 460 344
174 234 175 | 343 345 227
175 234 235 | 344 462 346
175 235 176 | 345 347 229
176 235 236 | 346 464 348
176 236 177 | 347 349 231
177 236 237 | 348 466 350
177 237 178 | 349 351 233
178 237 238 | 350 468 352
178 238 179 | 351 353 235
179 238 239 | 352 470 -1
180 240 181 | -1 355 237
181 240 241 | 354 472 356
181 241 182 | 355 357 239
182 241 242 | 356 474 358
182 242 183 | 357 359 241
183 242 243 | 358 476 360
183 243 184 | 359 361 243
184 243 244 | 360 478 362
184 244 185 | 361 363 245
185 244 245 | 362 480 364
185 245 186 | 363 365 247
186 245 246 | 364 482 366
186 246 187 | 365 367 249
187 246 247 | 366 484 368
187 247 188 | 367 369 251
188 247 248 | 368 486 370
188 248 189 | 369 371 253
189 248 249 | 370 488 372
189 249 190 | 371 373 255
190 249 250 | 372 490 374
190 250 191 | 373 375 257
191 250 251 | 374 492 376
191 251 192 | 375 377 259
192 251 252 | 376 494 378
192 252 193 | 377 379 261
193 252 253 | 378 496 380
193 253 194 | 379 381 263
194 253 254 | 380 498 382
194 254 195 | 381 383 265
195 254 255 | 382 500 384
195 255 196 | 383 385 267
196 255 256 | 384 502 386
196 256 197 | 385 387 269
197 256 257 | 386 504 388
197 257 198 | 387 389 271
198 257 258 | 388 506 390
198 258 199 | 389 391 273
199 258 259 | 390 508 392
199 259 200 | 391 393 275
200 259 260 | 392 510 394
200 260 201 | 393 395 277
201 260 261 | 394 512 396
201 261 202 | 395 397 279
202 261 262 | 396 514 398
202 262 203 | 397 399 281
203 262 263 | 398 516 400
203 263 204 | 399 401 283
204 263 264 | 400 518 402
204 264 205 | 401 403 285
205 264 265 | 402 520 404
205 265 206 | 403 405 287
206 265 266 | 404 522 406
206 266 207 | 405 407 289
207 266 267 | 406 524 408
207 267 208 | 407 409 291
208 267 268 | 408 526 410
208 268 209 | 409 411 293
209 268 269 | 410 528 412
209 269 210 | 411 413 295
210 269 270 | 412 530 414
210 270 211 | 413 415 297
211 270 271 | 414 532 416
211 271 212 | 415 417 299
212 271 272 | 416 534 418
212 272 213 | 417 419 301
213 272 273 | 418 536 420
213 273 214 | 419 421 303
214 273 274 | 420 538 422
214 274 215 | 421 423 305
215 274 275 | 422 540 424
215 275 216 | 423 425 307
