0 50 1 | -1 1 -1
1 50 51 | 0 98 2
1 51 2 | 1 3 -1
2 51 52 | 2 100 4
2 52 3 | 3 5 -1
3 52 53 | 4 102 6
3 53 4 | 5 7 -1
4 53 54 | 6 104 8
4 54 5 | 7 9 -1
5 54 55 | 8 106 10
5 55 6 | 9 11 -1
6 55 56 | 10 108 12
6 56 7 | 11 13 -1
7 56 57 | 12 110 14
7 57 8 | 13 15 -1
8 57 58 | 14 112 16
8 58 9 | 15 17 -1
9 58 59 | 16 114 18
9 59 10 | 17 19 -1
10 59 60 | 18 116 20
10 60 11 | 19 21 -1
11 60 61 | 20 118 22
11 61 12 | 21 23 -1
12 61 62 | 22 120 24
12 62 13 | 23 25 -1
13 62 63 | 24 122 26
13 63 14 | 25 27 -1
14 63 64 | 26 124 28
14 64 15 | 27 29 -1
15 64 65 | 28 126 30
15 65 16 | 29 31 -1
16 65 66 | 30 128 32
16 66 17 | 31 33 -1
17 66 67 | 32 130 34
17 67 18 | 33 35 -1
18 67 68 | 34 132 36
18 68 19 | 35 37 -1
19 68 69 | 36 134 38
19 69 20 | 37 39 -1
20 69 70 | 38 136 40
20 70 21 | 39 41 -1
21 70 71 | 40 138 42
21 71 22 | 41 43 -1
22 71 72 | 42 140 44
22 72 23 | 43 45 -1
23 72 73 | 44 142 46
23 73 24 | 45 47 -1
24 73 74 | 46 144 48
24 74 25 | 47 49 -1
25 74 75 | 48 146 50
25 75 26 | 49 51 -1
26 75 76 | 50 148 52
26 76 27 | 51 53 -1
27 76 77 | 52 150 54
27 77 28 | 53 55 -1
28 77 78 | 54 152 56
28 78 29 | 55 57 -1
29 78 79 | 56 154 58
29 79 30 | 57 59 -1
30 79 80 | 58 156 60
30 80 31 | 59 61 -1
31 80 81 | 60 158 62
31 81 32 | 61 63 -1
32 81 82 | 62 160 64
32 82 33 | 63 65 -1
33 82 83 | 64 162 66
33 83 34 | 65 67 -1
34 83 84 | 66 164 68
34 84 35 | 67 69 -1
35 84 85 | 68 166 70
35 85 36 | 69 71 -1
36 85 86 | 70 168 72
36 86 37 | 71 73 -1
37 86 87 | 72 170 74
37 87 38 | 73 75 -1
38 87 88 | 74 172 76
38 88 39 | 75 77 -1
39 88 89 | 76 174 78
39 89 40 | 77 79 -1
40 89 90 | 78 176 80
40 90 41 | 79 81 -1
41 90 91 | 80 178 82
41 91 42 | 81 83 -1
42 91 92 | 82 180 84
42 92 43 | 83 85 -1
43 92 93 | 84 182 86
43 93 44 | 85 87 -1
44 93 94 | 86 184 88
44 94 45 | 87 89 -1
45 94 95 | 88 186 90
45 95 46 | 89 91 -1
46 95 96 | 90 188 92
46 96 47 | 91 93 -1
47 96 97 | 92 190 94
47 97 48 | 93 95 -1
48 97 98 | 94 192 96
48 98 49 | 95 97 -1
49 98 99 | 96 194 -1
50 100 51 | -1 99 1
51 100 101 | 98 196 100
51 101 52 | 99 101 3
52 101 102 | 100 198 102
52 102 53 | 101 103 5
53 102 103 | 102 200 104
53 103 54 | 103 105 7
54 103 104 | 104 202 106
54 104 55 | 105 107 9
55 104 105 | 106 204 108
55 105 56 | 107 109 11
56 105 106 | 108 206 110
56 106 57 | 109 111 13
57 106 107 | 110 208 112
57 107 58 | 111 113 15
58 107 108 | 112 210 114
58 108 59 | 113 115 17
59 108 109 | 114 212 116
59 109 60 | 115 117 19
60 109 110 | 116 214 118
60 110 61 | 117 119 21
61 110 111 | 118 216 120
61 111 62 | 119 121 23
62 111 112 | 120 218 122
62 112 63 | 121 123 25
63 112 113 | 122 220 124
63 113 64 | 123 125 27
64 113 114 | 124 222 126
64 114 65 | 125 127 29
65 114 115 | 126 224 128
65 115 66 | 127 129 31
66 115 116 | 128 226 130
66 116 67 | 129 131 33
67 116 117 | 130 228 132
67 117 68 | 131 133 35
68 117 118 | 132 230 134
68 118 69 | 133 135 37
69 118 119 | 134 232 136
69 119 70 | 135 137 39
70 119 120 | 136 234 138
70 120 71 | 137 139 41
71 120 121 | 138 236 140
71 121 72 | 139 141 43
72 121 122 | 140 238 142
72 122 73 | 141 143 45
73 122 123 | 142 240 144
73 123 74 | 143 145 47
74 123 124 | 144 242 146
74 124 75 | 145 147 49
75 124 125 | 146 244 148
75 125 76 | 147 149 51
76 125 126 | 148 246 150
76 126 77 | 149 151 53
77 126 127 | 150 248 152
77 127 78 | 151 153 55
78 127 128 | 152 250 154
78 128 79 | 153 155 57
79 128 129 | 154 252 156
79 129 80 | 155 157 59
80 129 130 | 156 254 158
80 130 81 | 157 159 61
81 130 131 | 158 256 160
81 131 82 | 159 161 63
82 131 132 | 160 258 162
82 132 83 | 161 163 65
83 132 133 | 162 260 164
83 133 84 | 163 165 67
84 133 134 | 164 262 166
84 134 85 | 165 167 69
85 134 135 | 166 264 168
85 135 86 | 167 169 71
86 135 136 | 168 266 170
86 136 87 | 169 171 73
87 136 137 | 170 268 172
87 137 88 | 171 173 75
88 137 138 | 172 270 174
88 138 89 | 173 175 77
89 138 139 | 174 272 176
89 139 90 | 175 177 79
90 139 140 | 176 274 178
90 140 91 | 177 179 81
91 140 141 | 178 276 180
91 141 92 | 179 181 83
92 141 142 | 180 278 182
92 142 93 | 181 183 85
93 142 143 | 182 280 184
93 143 94 | 183 185 87
94 143 144 | 184 282 186
94 144 95 | 185 187 89
95 144 145 | 186 284 188
95 145 96 | 187 189 91
96 145 146 | 188 286 190
96 146 97 | 189 191 93
97 146 147 | 190 288 192
97 147 98 | 191 193 95
98 147 148 | 192 290 194
98 148 99 | 193 195 97
99 148 149 | 194 292 -1
100 150 101 | -1 197 99
101 150 151 | 196 294 198
101 151 102 | 197 199 101
102 151 152 | 198 296 200
102 152 103 | 199 201 103
103 152 153 | 200 298 202
103 153 104 | 201 203 105
104 153 154 | 202 300 204
104 154 105 | 203 205 107
105 154 155 | 204 302 206
105 155 106 | 205 207 109
106 155 156 | 206 304 208
106 156 107 | 207 209 111
107 156 157 | 208 306 210
107 157 108 | 209 211 113
108 157 158 | 210 308 212
108 158 109 | 211 213 115
109 158 159 | 212 310 214
109 159 110 | 213 215 117
110 159 160 | 214 312 216
110 160 111 | 215 217 119
111 160 161 | 216 314 218
111 161 112 | 217 219 121
112 161 162 | 218 316 220
112 162 113 | 219 221 123
113 162 163 | 220 318 222
113 163 114 | 221 223 125
114 163 164 | 222 320 224
114 164 115 | 223 225 127
115 164 165 | 224 322 226
115 165 116 | 225 227 129
116 165 166 | 226 324 228
116 166 117 | 227 229 131
117 166 167 | 228 326 230
117 167 118 | 229 231 133
118 167 168 | 230 328 232
118 168 119 | 231 233 135
119 168 169 | 232 330 234
119 169 120 | 233 235 137
120 169 170 | 234 332 236
120 170 121 | 235 237 139
121 170 171 | 236 334 238
121 171 122 | 237 239 141
122 171 172 | 238 336 240
122 172 123 | 239 241 143
123 172 173 | 240 338 242
123 173 124 | 241 243 145
124 173 174 | 242 340 244
124 174 125 | 243 245 147
125 174 175 | 244 342 246
125 175 126 | 245 247 149
126 175 176 | 246 344 248
126 176 127 | 247 249 151
127 176 177 | 248 346 250
127 177 128 | 249 251 153
128 177 178 | 250 348 252
128 178 129 | 251 253 155
129 178 179 | 252 350 254
129 179 130 | 253 255 157
130 179 180 | 254 352 256
130 180 131 | 255 257 159
131 180 181 | 256 354 258
131 181 132 | 257 259 161
132 181 182 | 258 356 260
132 182 133 | 259 261 163
133 182 183 | 260 358 262
133 183 134 | 261 263 165
134 183 184 | 262 360 264
134 184 135 | 263 265 167
135 184 185 | 264 362 266
135 185 136 | 265 267 169
136 185 186 | 266 364 268
136 186 137 | 267 269 171
137 186 187 | 268 366 270
137 187 138 | 269 271 173
138 187 188 | 270 368 272
138 188 139 | 271 273 175
139 188 189 | 272 370 274
139 189 140 | 273 275 177
140 189 190 | 274 372 276
140 190 141 | 275 277 179
141 190 191 | 276 374 278
141 191 142 | 277 279 181
142 191 192 | 278 376 280
142 192 143 | 279 281 183
143 192 193 | 280 378 282
143 193 144 | 281 283 185
144 193 194 | 282 380 284
144 194 145 | 283 285 187
145 194 195 | 284 382 286
145 195 146 | 285 287 189
146 195 196 | 286 384 288
146 196 147 | 287 289 191
147 196 197 | 288 386 290
147 197 148 | 289 291 193
148 197 198 | 290 388 292
148 198 149 | 291 293 195
149 198 199 | 292 390 -1
150 200 151 | -1 295 197
151 200 201 | 294 392 296
151 201 152 | 295 297 199
152 201 202 | 296 394 298
152 202 153 | 297 299 201
153 202 203 | 298 396 300
153 203 154 | 299 301 203
154 203 204 | 300 398 302
154 204 155 | 301 303 205
155 204 205 | 302 400 304
155 205 156 | 303 305 207
156 205 206 | 304 402 306
156 206 157 | 305 307 209
157 206 207 | 306 404 308
157 207 158 | 307 309 211
158 207 208 | 308 406 310
158 208 159 | 309 311 213
159 208 209 | 310 408 312
159 209 160 | 311 313 215
160 209 210 | 312 410 314
160 210 161 | 313 315 217
161 210 211 | 314 412 316
161 211 162 | 315 317 219
162 211 212 | 316 414 318
162 212 163 | 317 319 221
163 212 213 | 318 416 320
163 213 164 | 319 321 223
164 213 214 | 320 418 322
164 214 165 | 321 323 225
165 214 215 | 322 420 324
165 215 166 | 323 325 227
166 215 216 | 324 422 326
166 216 167 | 325 327 229
167 216 217 | 326 424 328
167 217 168 | 327 329 231
168 217 218 | 328 426 330
168 218 169 | 329 331 233
169 218 219 | 330 428 332
169 219 170 | 331 333 235
170 219 220 | 332 430 334
170 220 171 | 333 335 237
171 220 221 | 334 432 336
171 221 172 | 335 337 239
172 221 222 | 336 434 338
172 222 173 | 337 339 241
173 222 223 | 338 436 340
173 223 174 | 339 341 243
174 223 224 | 340 438 342
174 224 175 | 341 343 245
175 224 225 | 342 440 344
175 225 176 | 343 345 247
176 225 226 | 344 442 346
176 226 177 | 345 347 249
177 226 227 | 346 444 348
177 227 178 | 347 349 251
178 227 228 | 348 446 350
178 228 179 | 349 351 253
179 228 229 | 350 448 352
179 229 180 | 351 353 255
180 229 230 | 352 450 354
180 230 181 | 353 355 257
181 230 231 | 354 452 356
181 231 182 | 355 357 259
182 231 232 | 356 454 358
182 232 183 | 357 359 261
183 232 233 | 358 456 360
183 233 184 | 359 361 263
184 233 234 | 360 458 362
184 234 185 | 361 363 265
185 234 235 | 362 460 364
185 235 186 | 363 365 267
186 235 236 | 364 462 366
186 236 187 | 365 367 269
187 236 237 | 366 464 368
187 237 188 | 367 369 271
188 237 238 | 368 466 370
188 238 189 | 369 371 273
189 238 239 | 370 468 372
189 239 190 | 371 373 275
190 239 240 | 372 470 374
190 240 191 | 373 375 277
191 240 241 | 374 472 376
191 241 192 | 375 377 279
192 241 242 | 376 474 378
192 242 193 | 377 379 281
193 242 243 | 378 476 380
193 243 194 | 379 381 283
194 243 244 | 380 478 382
194 244 195 | 381 383 285
195 244 245 | 382 480 384
195 245 196 | 383 385 287
196 245 246 | 384 482 386
196 246 197 | 385 387 289
197 246 247 | 386 484 388
197 247 198 | 387 389 291
198 247 248 | 388 486 390
198 248 199 | 389 391 293
199 248 249 | 390 488 -1
200 250 201 | -1 393 295
201 250 251 | 392 490 394
201 251 202 | 393 395 297
202 251 252 | 394 492 396
202 252 203 | 395 397 299
203 252 253 | 396 494 398
203 253 204 | 397 399 301
204 253 254 | 398 496 400
204 254 205 | 399 401 303
205 254 255 | 400 498 402
205 255 206 | 401 403 305
206 255 256 | 402 500 404
206 256 207 | 403 405 307
207 256 257 | 404 502 406
207 257 208 | 405 407 309
208 257 258 | 406 504 408
208 258 209 | 407 409 311
209 258 259 | 408 506 410
209 259 210 | 409 411 313
210 259 260 | 410 508 412
210 260 211 | 411 413 315
211 260 261 | 412 510 414
211 261 212 | 413 415 317
212 261 262 | 414 512 416
212 262 213 | 415 417 319
213 262 263 | 416 514 418
213 263 214 | 417 419 321
214 263 264 | 418 516 420
214 264 215 | 419 421 323
215 264 265 | 420 518 422
215 265 216 | 421 423 325
216 265 266 | 422 520 424
216 266 217 | 423 425 327
217 266 267 | 424 522 426
217 267 218 | 425 427 329
218 267 268 | 426 524 428
218 268 219 | 427 429 331
219 268 269 | 428 526 430
219 269 220 | 429 431 333
220 269 270 | 430 528 432
220 270 221 | 431 433 335
221 270 271 | 432 530 434
221 271 222 | 433 435 337
222 271 272 | 434 532 436
222 272 223 | 435 437 339
223 272 273 | 436 534 438
223 273 224 | 437 439 341
224 273 274 | 438 536 440
224 274 225 | 439 441 343
225 274 275 | 440 538 442
225 275 226 | 441 443 345
226 275 276 | 442 540 444
226 276 227 | 443 445 347
227 276 277 | 444 542 446
227 277 228 | 445 447 349
228 277 278 | 446 544 448
228 278 229 | 447 449 351
229 278 279 | 448 546 450
229 279 230 | 449 451 353
230 279 280 | 450 548 452
230 280 231 | 451 453 355
231 280 281 | 452 550 454
231 281 232 | 453 455 357
232 281 282 | 454 552 456
232 282 233 | 455 457 359
233 282 283 | 456 554 458
233 283 234 | 457 459 361
234 283 284 | 458 556 460
234 284 235 | 459 461 363
235 284 285 | 460 558 462
235 285 236 | 461 463 365
236 285 286 | 462 560 464
236 286 237 | 463 465 367
237 286 287 | 464 562 466
237 287 238 | 465 467 369
238 287 288 | 466 564 468
238 288 239 | 467 469 371
239 288 289 | 468 566 470
239 289 240 | 469 471 373
240 289 290 | 470 568 472
240 290 241 | 471 473 375
241 290 291 | 472 570 474
241 291 242 | 473 475 377
242 291 292 | 474 572 476
242 292 243 | 475 477 379
243 292 293 | 476 574 478
243 293 244 | 477 479 381
244 293 294 | 478 576 480
244 294 245 | 479 481 383
245 294 295 | 480 578 482
245 295 246 | 481 483 385
246 295 296 | 482 580 484
246 296 247 | 483 485 387
247 296 297 | 484 582 486
247 297 248 | 485 487 389
248 297 298 | 486 584 488
248 298 249 | 487 489 391
249 298 299 | 488 586 -1
250 300 251 | -1 491 393
251 300 301 | 490 588 492
251 301 252 | 491 493 395
252 301 302 | 492 590 494
252 302 253 | 493 495 397
